AGNO;RBD;DGV_RBD;NOM_RBD;MRUN;RUT_SOSTENEDOR;P_JURIDICA;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;PACE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;ENS_10;ENS_11;MAT_TOTAL;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
2022;20375;0;ESCUELA ESPECIAL DE LENGUAJE ESMERALDA; ;65146834;1;6;LGBO;61;6115;RENGO;61;CACHAPOAL;3;2;0;-34,345810000000000;-70,84499000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;60;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20376;9;COLEGIO NUEVA ALERCE; ;69220100;1;10;LAGOS;101;10101;PUERTO MONTT;101;LLANQUIHUE;2;1;0;-41,386200000000000;-72,89720199999999;1;0;10;110;310;0;0;0;0;0;0;0;0;797;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20377;7;ESCUELA ESPECIAL DE LENGUAJE SANTA MARIANA; ;65146278;1;4;COQ;41;4101;LA SERENA;41;ELQUI;3;2;0;-29,873140000000000;-71,23618999999999;0;0;214;0;0;0;0;0;0;0;0;0;0;48;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20378;5;ESCUELA BASICA RENACER; ;65115282;1;9;ARAUC;91;9116;SAAVEDRA;92;CAUTÍN NORTE;3;2;1;-38,782928000000000;-73,39272300000000;0;0;110;0;0;0;0;0;0;0;0;0;0;14;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20379;3;ESCUELA ESPECIAL DE LENGUAJE SEMILLITAS DE AMOR; ;65153011;1;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;3;2;0;-33,056739999999990;-71,42331000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;71;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20380;7;ESCUELA ESPECIAL RESPLANDECER; ;65114817;1;10;LAGOS;103;10307;SAN PABLO;103;OSORNO;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2022;20381;5;ESCUELA ESPECIAL DE LENGUAJE APRENDO FELIZ; ;65144999;1;10;LAGOS;101;10109;PUERTO VARAS;101;LLANQUIHUE;3;2;0;-41,325614000000000;-73,07192600000000;0;0;214;0;0;0;0;0;0;0;0;0;0;67;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20382;3;JARDÍN INFANTIL Y SALA CUNA CRICRI; ;76091467;1;10;LAGOS;101;10109;PUERTO VARAS;101;LLANQUIHUE;4;3;0;-41,321808040000000;-72,98412426000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20383;1;ESCUELA ESPECIAL DE LENGUAJE SAYEN; ;65147297;1;10;LAGOS;103;10301;OSORNO;103;OSORNO;3;2;0;-40,576180000000000;-73,11494000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;147;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20385;8;ESCUELA ESPECIAL DE LENGUAJE ALMAGRO; ;65144245;1;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0;-37,461520000000000;-72,34911000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;50;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20386;6;ESCUELA ESPECIAL DE LENGUAJE LANKUYEN CARELMAPU; ;65146708;1;10;LAGOS;101;10108;MAULLIN;101;LLANQUIHUE;3;2;0;-41,740930000000000;-73,73448999999999;0;0;214;0;0;0;0;0;0;0;0;0;0;44;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20387;4;ESCUELA ESPECIAL N° 206, DANTE ALIGHIERI; ;65150183;1;13;RM;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;-33,603918810000000;-70,88915569000000;0;0;214;0;0;0;0;0;0;0;0;0;0;32;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20388;2;COLEGIO HOSPITAL SALVADOR DE VALPARAISO; ;74120600;1;5;VALPO;51;5101;VALPARAÍSO;53;VALPARAÍSO;3;2;0;-33,019050260000000;-71,64067896000000;0;0;110;310;0;0;0;0;0;0;0;0;0;14;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20389;0;ESCUELA ESPECIAL DE LENGUAJE CAPULLOS; ;65144796;1;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0;-37,465770000000000;-72,33898000000001;0;0;214;0;0;0;0;0;0;0;0;0;0;85;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20390;4;COLEGIO CIELOS DEL VALLE; ;65146004;1;4;COQ;41;4101;LA SERENA;41;ELQUI;3;2;0;-29,877420000000000;-71,23935700000000;1;0;110;0;0;0;0;0;0;0;0;0;0;202;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20391;2;ESCUELA ESPECIAL DE LENGUAJE EL NOGAL; ;65149335;1;8;BBIO;81;8104;FLORIDA;83;CONCEPCIÓN;3;2;0;-36,825320000000000;-72,66056000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;73;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20392;0;COLEGIO SAN PABLO; ;65143204;1;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0;-37,474159000000000;-72,34484100000000;1;0;10;110;0;0;0;0;0;0;0;0;0;38;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20393;9;CENTRO DE EDUCACION INTEGRADA DE ADULTOS POETA ALFONSO MORA; ;69150100;1;8;BBIO;81;8111;TOMÉ;83;CONCEPCIÓN;2;1;0;-36,616150750000000;-72,95381408999999;1;0;165;167;363;0;0;0;0;0;0;0;0;183;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20395;5;COLEGIO DE ADULTOS ANDRES BELLO; ;65114843;1;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;3;2;0;-36,609552000000000;-72,10588050000000;1;0;363;0;0;0;0;0;0;0;0;0;0;253;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20396;3;JARDIN INFANTIL Y SALA CUNA LUNITA; ;76301596;1;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9; ;SIN INFORMACION;SIN INFORMACION
2022;20397;1;ESCUELA ESPECIAL N°2466 NUESTROS HIJOS; ;53330345;1;13;RM;131;13104;CONCHALÍ;137;SANTIAGO NORTE;3;2;0;-33,374360000000000;-70,68476000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;66;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20399;8;COLEGIO EDUCAADULTOS CONCHALI; ;65143612;1;13;RM;131;13104;CONCHALÍ;137;SANTIAGO NORTE;3;2;0;-33,375960000000000;-70,66717199999999;1;0;363;0;0;0;0;0;0;0;0;0;0;306;1;1;9; ;SIN INFORMACION;SIN INFORMACION
