AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2021;1853;8;COLEGIO ARTÍSTICO COSTA MAUCO;2;1;0;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;1;0;23;14;37;0;152;117;269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175;131;0;306;2;8;0;0;0;0;0;0;10;0;0;0
2021;1854;6;ESCUELA AZUCENA DIABUNO VASQUEZ;2;1;0;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;3;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;1855;4;ESCUELA BASICA REPUBLICA DE FRANCIA;2;1;0;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;1;0;33;33;66;0;302;255;557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;335;288;0;623;2;16;0;0;0;0;0;0;18;0;0;0
2021;1856;2;ESCUELA MANTAGUA;2;1;1;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;1;0;11;12;23;0;79;50;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;62;0;152;0;8;0;0;0;0;0;0;8;1;0;1
2021;1857;0;ESCUELA JUAN JOSE TORTEL;2;1;1;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;1;0;13;23;36;0;49;31;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;54;0;116;2;2;0;0;0;0;0;0;4;0;2;2
2021;1858;9;COLEGIO DON ORIONE;3;2;0;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;1;0;67;63;130;0;315;333;648;0;0;0;0;0;0;0;0;218;227;445;0;0;0;48;20;68;0;0;0;648;643;0;1291;4;16;0;0;10;0;2;0;32;0;0;0
2021;1859;7;COLEGIO SANTA FILOMENA;3;2;0;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;1;0;24;38;62;0;152;174;326;0;0;0;0;0;0;0;0;68;82;150;0;0;0;0;0;0;0;0;0;244;294;0;538;2;8;0;0;4;0;0;0;14;0;0;0
2021;1860;0;COLEGIO INGLES;3;2;0;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;1;0;46;55;101;0;323;327;650;0;0;0;0;0;0;0;0;126;152;278;36;44;80;0;0;0;0;0;0;531;578;0;1109;4;16;0;0;8;2;0;0;30;0;0;0
2021;1861;9;COL.HUMANID. ALONSO DE QUINTERO;4;3;0;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;3;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;1862;7;COLEGIO PARTICULAR DAYLIGHT;4;3;0;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;3;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
