AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;DC_A;HH_A;DC_UTP;HH_UTP;DC_PDIR;HH_PDIR;DC_DIR;HH_DIR;DC_OES;HH_OES;DC_OF;HH_OF;DC_JUTP;HH_JUTP;DC_IG;HH_IG;DC_OR;HH_OR;DC_DIR_SOST;HH_DIR_SOST;DC_TP_SOST;HH_TP_SOST;DC_SUP_SOST;HH_SUP_SOST;DC_SUBDIR;HH_SUBDIR;DC_PROF_ENC;HH_PROF_ENC;DC_EDUC_TRAD;HH_EDUC_TRAD;DC_TOT;HH_TOT
2021;3931;4;ESCUELA CARDEMIO FRANCO GUTIERREZ;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3932;2;ESCUELA MAIPO;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;3;51
2021;3933;0;ESCUELA LOMA BLANCA;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3934;9;ESCUELA SAN ISIDRO;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;3;62
2021;3935;7;ESCUELA DE SAN VICENTE ALTO;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;12;437;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;481
2021;3936;5;ESCUELA TEMUCUTILLO;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3937;3;ESCUELA BALSA ZAPALLAR;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;3;58
2021;3938;1;ESCUELA BÁSICA ADULTOS YUNGAY;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;0;1;8;275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;9;319
2021;3940;3;LICEO DE YUNGAY;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;0;1;48;1817;1;44;0;0;1;44;2;58;0;0;1;44;0;0;1;44;0;0;1;44;0;0;0;0;0;0;0;0;55;2095
2021;3941;1;LICEO CAMPANARIO;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;0;1;32;1179;1;44;0;0;1;44;1;43;0;0;1;44;1;44;1;43;0;0;0;0;0;0;0;0;0;0;1;44;39;1485
2021;3943;8;CHOLGUAN;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3944;6;ESCUELA EL AVELLANO;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3945;4;ESCUELA LOS PUQUIOS;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;1;44
2021;3947;0;ESCUELA PANGAL DEL LAJA;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;1;44
2021;3948;9;ESCUELA SAN MIGUEL DE ITATA;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;1;6;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;7;201
2021;3949;7;ESCUELA EL ROBLE;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;1;3;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;4;72
2021;3950;0;ESCUELA SANTA LUCIA ALTO;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3951;9;ESCUELA SANTA LUCIA BAJO;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3952;7;ESCUELA SANTA IRMA;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;1;44
2021;3953;5;ESCUELA L.GRAL.BERNARDO O'HIGGINS;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3954;3;ESCUELA EL CASTILLO;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3955;1;ESCUELA BASICA RANCHILLOS;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;1;12;352;1;44;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;440
2021;3957;8;ESCUELA LOS MAYOS;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;1;10;348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;0;0;1;44;0;0;12;436
2021;3958;6;ESCUELA LOS LAURELES;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;1;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;2;88
2021;3959;4;ESCUELA PALLAHUALA;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;1;44
2021;3960;8;COLEGIO DIVINA PASTORA;16;NUBLE;161;16109;YUNGAY;81;ÑUBLE;3;2;0;1;29;976;1;44;1;22;1;44;0;0;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;1130
2021;3961;6;LICEO POLIVALENTE TOMÁS ARNALDO HERRERA VEGA;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;0;1;22;766;1;30;0;0;1;44;3;80;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;964
2021;3962;4;ESCUELA BASICA EL CIPRES;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;1;44
2021;3963;2;ESCUELA BASICA VILLA SAN PABLO;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3964;0;ESCUELA JOSE FRANCISCO ZAPATA DOMINGUEZ;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;2;51
2021;3965;9;ESCUELA BASICA SANTA JULIA;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;1;44
2021;3966;7;ESCUELA VILLA SAN PEDRO;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;1;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;2;57
2021;3967;5;ESCUELA BASICA GENERAL CRUZ;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;1;14;508;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;552
2021;3968;3;ESCUELA BASICA MONTE EL LEON;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;2;51
2021;3969;1;ESCUELA BASICA RELBUN;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3970;5;ESCUELA BASICA CANELILLO;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;1;44
2021;3971;3;ESCUELA JOSÉ RENÉ SALGADO;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;1;10;392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;11;436
2021;3972;1;ESCUELA ARTURO MATTE ALESSANDRI;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;1;17;699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;18;743
2021;3974;8;ESCUELA BASICA VALLE HERMOSO;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;1;11;361;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;405
2021;3975;6;ESCUELA BASICA SALTO DE DANICALQUI;16;NUBLE;161;16105;PEMUCO;81;ÑUBLE;2;1;1;1;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;2;57
2021;3976;4;LICEO MANUEL BULNES;16;NUBLE;161;16102;BULNES;81;ÑUBLE;2;1;0;1;44;1802;0;0;1;44;1;44;2;88;0;0;1;44;2;88;1;44;0;0;0;0;0;0;0;0;0;0;0;0;52;2154
2021;3977;2;LICEO BICENTENARIO SANTA CRUZ DE LARQUI;16;NUBLE;161;16102;BULNES;81;ÑUBLE;2;1;0;1;52;2111;2;88;1;44;1;44;5;220;1;44;0;0;1;44;0;0;0;0;1;44;0;0;0;0;0;0;0;0;64;2639
2021;3978;0;ESCUELA CELIA URRUTIA PRIETO;16;NUBLE;161;16102;BULNES;81;ÑUBLE;2;1;0;1;10;431;0;0;0;0;0;0;2;88;2;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;15;651
2021;3979;9;LICEO POLIVALENTE ADULTOS DE ITATA;16;NUBLE;161;16102;BULNES;81;ÑUBLE;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3980;2;ESCUELA BASICA PUEBLO SECO SANTA CLARA;16;NUBLE;161;16102;BULNES;81;ÑUBLE;2;1;1;1;18;722;0;0;0;0;0;0;1;44;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;1;44;0;0;21;854
2021;3981;0;ESCUELA EL PALPAL DE SANTA CLARA;16;NUBLE;161;16102;BULNES;81;ÑUBLE;2;1;1;1;20;760;0;0;0;0;0;0;0;0;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;1;44;0;0;23;892
