AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;N_ASIS;N_HOMBRES;N_MUJERES;N_PROF;N_PARA;N_AUX;N_ADMIN;N_TEC;N_SIN_DATO;JORN_PROF;JORN_PARA;JORN_AUX;JORN_ADMIN;JORN_TEC;JORN_SIN_DATO;TOT_JORN
2021;18002;5;ESCUELA JOSE FRANCISCO PINO MEDINA;16;NUBLE;162;16203;COELEMU;81;ÑUBLE;2;1;0;1;44;11;33;11;26;7;0;0;0;285;1019;308;0;0;0;1612
2021;18003;3;ESCUELA DE LENGUAJE SAN NICOLAS;8;BBIO;81;8107;PENCO;83;CONCEPCIÓN;3;2;0;1;5;1;4;1;0;1;0;3;0;25;0;44;0;132;0;201
2021;18004;1;LICEO BICENTENARIO TÉCNICO PROFESIONAL ALONSO DE ERCILLA Y ZÚÑIGA;8;BBIO;82;8203;CAÑETE;84;ARAUCO;2;1;0;1;25;7;18;7;13;5;0;0;0;278;543;220;0;0;0;1041
2021;18006;8;ESCUELA ELISE MOTTART;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;0;1;36;7;29;7;0;9;14;6;0;232;0;396;524;218;0;1370
2021;18007;6;COLEGIO CARMELA ROMERO DE ESPINOSA;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;4;3;0;1;46;11;35;2;22;15;7;0;0;85;882;633;292;0;0;1892
2021;18008;4;ESCUELA ESPECIAL AMPALU;8;BBIO;83;8306;NACIMIENTO;82;BIOBÍO;3;2;0;1;23;2;21;5;13;5;0;0;0;136;545;220;0;0;0;901
2021;18009;2;CENTRO INTEGRAL ADULTOS PAUL PERCIVAL HARRIS;8;BBIO;82;8202;ARAUCO;84;ARAUCO;2;1;0;1;12;4;8;2;8;2;0;0;0;40;335;88;0;0;0;463
2021;18010;6;COLEGIO SAN FERNANDO CHILLÁN VIEJO;16;NUBLE;161;16103;CHILLÁN VIEJO;81;ÑUBLE;3;2;0;1;14;2;12;7;5;2;0;0;0;208;220;88;0;0;0;516
2021;18011;4;ESC. ESPEC. DE LENGUAJE SENDEROS DE SAN PEDRO;8;BBIO;81;8108;SAN PEDRO DE LA PAZ;83;CONCEPCIÓN;3;2;0;1;20;6;14;9;5;5;0;1;0;234;220;173;0;44;0;671
2021;18012;2;ESCUELA MARTA COLVIN ANDRADE;16;NUBLE;163;16302;COIHUECO;81;ÑUBLE;2;1;0;1;53;10;43;12;37;4;0;0;0;405;1378;176;0;0;0;1959
2021;18014;9;ESCUELA BASICA LOS CONQUISTADORES;8;BBIO;81;8107;PENCO;83;CONCEPCIÓN;2;1;0;1;20;7;13;1;11;4;3;1;0;22;394;176;132;25;0;749
2021;18015;7;ESCUELA BASICA FORJADORES DE CHILE;8;BBIO;81;8107;PENCO;83;CONCEPCIÓN;2;1;0;1;10;1;9;6;2;1;0;0;1;227;88;44;0;0;0;359
2021;18016;5;ESCUELA BASICA PUEBLO SECO;16;NUBLE;161;16108;SAN IGNACIO;81;ÑUBLE;2;1;0;1;39;9;30;9;23;7;0;0;0;229;941;308;0;0;0;1478
2021;18017;3;LICEO TÉCNICO PROFESIONAL VIOLETA PARRA SANDOVAL;16;NUBLE;163;16301;SAN CARLOS;81;ÑUBLE;2;1;0;1;42;16;26;15;18;8;1;0;0;441;734;352;44;0;0;1571
2021;18018;1;JARDIN INFANTIL TIERNO AMANECER;8;BBIO;81;8112;HUALPÉN;83;CONCEPCIÓN;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;18020;3;ESCUELA DE LENGUAJE ALTOS DE CHIGUAYANTE;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;3;2;0;1;9;0;9;1;0;1;1;6;0;44;0;44;44;198;0;330
