RBD;DV_RBD;NOM_RBD;RBD_A1;RBD_A2;COD_DEPE;COD_DEPE2;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2020_25;SEL2020_35;SEL
14494;0;COLEGIO EVANGELICO LABRANZA DE DIOS; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;53,166075;55,724427;81,25;100;92,916667;94,083394;532;67,493467;1;2;1
14499;1;ESCUELA DE PARVULOS SOL Y LUNA; ; ;3;2;5;51;5101;VALPARAÍSO;53;VALPARAÍSO;0;38,8062;54,639341;85,977273;100;56,8;96,192543;512;60,818305;2;2;3
14500;9;ESC. DE LENGUAJE PIPAN VINA; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0; ; ;0;100;0;92,083506;551;63,595347;2;2;3
14504;1;COLEGIO CRISTIANO CON-CON; ; ;3;2;5;51;5103;CONCÓN;53;VALPARAÍSO;0;41,918627;52,19839;75,39;100;63,633333;92,491865;533;60,178718;2;2;3
14506;8;COLEGIO APUMANQUE; ; ;3;2;5;55;5502;CALERA;51;QUILLOTA;0;59,736169;50,788846;87,84;100;97,833333;92,863301;531;68,915252;1;2;1
14507;6;COLEGIO NUESTRO TIEMPO; ; ;3;2;5;56;5602;ALGARROBO;54;SAN ANTONIO;0;41,233708;55,986672;95,17;100;73,75;92,673796;512;62,718675;2;1;2
14509;2;ESCUELA DE PARVULOS TIA PATRICIA N_ 2; ; ;3;2;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;0;38,8062;54,639341;57,054545;100;55,2;92,875155;512;58,273116;2;2;3
14510;6;COLEGIO NACIONAL; ; ;3;2;5;58;5802;LIMACHE;51;QUILLOTA;0;50,209281;53,410009;97,18;90;80,833333;95,386306;531;66,18969;2;2;3
14511;4;COLEGIO SANTA BARBARA DE LA REINA; ; ;3;2;5;51;5102;CASABLANCA;53;VALPARAÍSO;0;48,009532;57,72117;81,335;100;56,083333;93,375053;533;64,152233;1;2;1
14512;2;ESCUELA DE PARVULOS FANTASIA; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;42,498843;54,437429;78,472727;100;71,2;92,875155;511;61,66795;2;2;3
14513;0;ESCUELA DE PARVULOS NIDO DE LUNA; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;42,498843;54,437429;56,490909;100;71,5;92,875155;511;60,364041;2;2;3
14514;9;COLEGIO EL ARRAYAN; ; ;3;2;5;51;5102;CASABLANCA;53;VALPARAÍSO;0;55,239354;52,503117;89,39;100;62,5;95,650908;532;66,671033;1;2;1
14515;7;COLEGIO GABRIELA MISTRAL; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;35,767069;51,096674;88,72;90;72,833333;90,736475;511;58,267775;2;2;3
14516;5;ESCUELA ESPECIAL CANEC; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0; ; ;0;100;0;50,48445;551;37,447369;2;2;3
14517;3;ESCUELA ESPECIAL DE LENGUAJE EMANUEL; ; ;3;2;5;51;5102;CASABLANCA;53;VALPARAÍSO;0; ; ;82,5875;100;83;95,250103;551;91,600779;2;2;3
14518;1;COLEGIO BUENAVENTURA JOGLAR AMANDI; ; ;3;2;5;58;5804;VILLA ALEMANA;53;VALPARAÍSO;0;37,072909;54,584725;74,65;100;86,816667;92,189782;511;60,102285;2;2;3
14521;1;ESC. SAINT PATRICK SCHOOL; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;38,8062;54,639341;69,818182;100;55;92,875155;512;59,028935;2;2;3
14523;8;LIONS SCHOOL; ; ;3;2;5;56;5603;CARTAGENA;54;SAN ANTONIO;0;53,386023;55,46287;89,17;100;100;93,287155;532;68,155806;1;2;1
14525;4;CTRO.EDUC.Y CAPAC.AD.FCO.BILBAO; ; ;3;2;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;0;36,449839;54,968483;75,34;100;83,75;80,195098;533;57,228438;2;2;3
14526;2;COLEGIO ALONSO DE QUINTERO; ; ;3;2;5;51;5107;QUINTERO;53;VALPARAÍSO;0;51,8476;56,853979;86,475;100;81,916667;93,930272;532;67,051719;1;2;1
