agno,region,ingre_medio,inter_inf,inter_sup,calidad
2013,3,496559.7619251933,429586.4008900959,563533.1229602905,fiable
2013,4,394848.8743747548,360340.8428440098,429356.9059054999,fiable
2013,5,440328.6485115399,404884.9169293876,475772.3800936923,fiable
2013,13,592448.2990296127,551835.5693877748,633061.0286714506,fiable
2013,6,372878.0852023024,340349.8613838158,405406.3090207891,fiable
2013,7,340831.749787117,319241.319240903,362422.180333331,fiable
2013,16,354577.4571990905,272995.466830343,436159.447567838,fiable
2013,8,365804.2583997443,340542.1563184434,391066.3604810453,fiable
2013,9,321070.131201484,292163.4548205516,349976.8075824164,fiable
2013,14,348296.1807910188,308010.6215433716,388581.7400386659,fiable
2013,10,402635.5704764652,360438.5963030141,444832.5446499162,fiable
2013,11,469139.2494097667,428405.10436181,509873.3944577234,fiable
2013,12,683499.5810609901,574643.3809676839,792355.7811542964,fiable
2014,0,498781.4742283552,484621.017537668,512941.9309190423,fiable
2014,15,380049.697910858,348892.5023845616,411206.8934371544,fiable
2014,1,556698.0959379061,502788.0592223331,610608.1326534791,fiable
2014,2,642272.6837394751,587595.8883010097,696949.4791779405,fiable
2014,3,493778.0712882562,438547.779408879,549008.3631676334,fiable
2014,4,418317.47020913,376239.3686718472,460395.5717464129,fiable
2014,5,493811.6080558439,453813.5419975636,533809.6741141243,fiable
2014,13,578584.9020521682,550748.8374610584,606420.9666432779,fiable
2014,6,378543.4158065819,349925.826123395,407161.0054897689,fiable
2014,7,359540.1865201848,332672.2336344626,386408.139405907,fiable
2014,16,387543.8976288961,296219.8816067838,478867.9136510083,fiable
2014,8,394993.7686016603,361500.6790655474,428486.8581377732,fiable
2014,9,365032.0652318714,323727.3976828908,406336.732780852,fiable
2014,14,368192.5864801538,324450.4234055042,411934.7495548034,fiable
2014,10,462231.036261968,405414.7252479356,519047.3472760005,fiable
2014,11,497464.948608255,445865.2655886179,549064.631627892,fiable
2014,12,634449.0074862653,555084.7095876095,713813.305384921,fiable
2015,0,535311.1932930979,520177.7278221448,550444.658764051,fiable
2015,15,441797.3688611737,401444.0673379417,482150.6703844057,fiable
2015,1,599047.7894148261,513614.7802745836,684480.7985550687,fiable
2015,2,685544.6851492961,610832.4022518132,760256.9680467789,fiable
2015,3,539960.4121328067,478928.3312668728,600992.4929987406,fiable
2015,4,435326.3550158147,390963.9608348478,479688.7491967816,fiable
2015,5,486234.4073309214,446401.260661181,526067.5540006618,fiable
2015,13,620435.7003598656,591383.4792421791,649487.921477552,fiable
2015,6,421449.9020555002,391439.8165161347,451459.9875948657,fiable
2015,7,402421.8649163141,367343.3985109173,437500.3313217108,fiable
2015,16,471289.9170053325,332010.3830383434,610569.4509723216,fiable
2015,8,426223.5904120384,381538.2478240195,470908.9330000574,fiable
2015,9,382945.4313325342,344415.4257413902,421475.4369236783,fiable
2015,14,399669.5253637682,354470.7778157332,444868.2729118032,fiable
2015,10,498138.6077939143,444570.1711091147,551707.0444787139,fiable
2015,11,590166.1102477162,529369.6972692659,650962.5232261665,fiable
2015,12,724343.5381740581,615479.7970883842,833207.279259732,fiable
2016,0,546208.6010527671,529497.7890176555,562919.4130878787,fiable
2016,15,414087.3685610197,379872.0600701121,448302.6770519273,fiable
2016,1,568541.8291502615,490711.0685048337,646372.5897956893,fiable
2016,2,644729.6259127695,588798.1720848987,700661.0797406402,fiable
2016,3,503147.7732367204,451041.3498379795,555254.1966354614,fiable
2016,4,466509.7824973342,404136.0322950408,528883.5326996277,fiable
2016,5,525638.9404387276,476187.3320422375,575090.5488352177,fiable
2016,13,633672.9638246647,601128.2438980963,666217.6837512332,fiable
2016,6,430265.0431754984,400485.1226081245,460044.9637428722,fiable
2016,7,403535.1566393392,362511.1764754051,444559.1368032733,fiable
2016,16,483299.3493950215,350354.896205208,616243.802584835,fiable
2016,8,446071.26002592,403334.7295726321,488807.7904792079,fiable
2016,9,392883.5796751842,353117.9361035726,432649.2232467958,fiable
2016,14,428375.2999430612,385461.6154455446,471288.9844405778,fiable
2016,10,481683.2516491626,433158.4066655403,530208.0966327848,fiable
2016,11,629314.3358172945,572737.5386347901,685891.132999799,fiable
2016,12,716700.3424088735,610776.325369526,822624.3594482209,fiable
2017,0,581086.3817831874,564225.6028875152,597947.1606788596,fiable
2017,15,438909.0311845117,401968.5490814097,475849.5132876136,fiable
2017,1,588268.2116348216,530056.3392352968,646480.0840343464,fiable
2017,2,739704.6662684927,666216.8045071817,813192.5280298037,fiable
2017,3,530480.8197012143,491213.4786907686,569748.16071166,fiable
2017,4,469661.0711655797,428908.1117247693,510414.03060639,fiable
2017,5,540202.6887481504,498600.1105181844,581805.2669781164,fiable
2017,13,677372.4657736234,642898.5627049018,711846.3688423451,fiable
2017,6,477889.8894564464,433781.6032985046,521998.1756143883,fiable
2017,7,431961.8155861802,393989.0423492426,469934.5888231178,fiable
2017,16,379532.0274664929,338601.1365891658,420462.91834382,fiable
2017,8,465137.3416230727,429257.1060899802,501017.5771561652,fiable
2017,9,445143.4023204357,404491.0681279905,485795.736512881,fiable
2017,14,476302.6266190864,417274.7614810618,535330.491757111,fiable
2017,10,498984.1460541806,459784.5417734351,538183.750334926,fiable
2017,11,662748.5539301886,589021.7835411197,736475.3243192576,fiable
2017,12,783326.3273264087,686733.4312504973,879919.22340232,fiable
2018,0,606399.2078903178,585016.7417672448,627781.6740133908,fiable
2018,15,489678.5100787844,444293.2879459304,535063.7322116385,fiable
2018,1,551318.81293941,493808.6896866415,608828.9361921785,fiable
2018,2,703144.2097607139,631865.9694697767,774422.450051651,fiable
2018,3,568928.224461754,520769.9332973904,617086.5156261175,fiable
2018,4,466024.7863805202,420483.6209760875,511565.9517849528,fiable
2018,5,547863.2864118997,504223.9633560359,591502.6094677636,fiable
2018,13,716671.8443445582,671651.638948772,761692.0497403444,fiable
2018,6,493166.2948213144,450811.2240791547,535521.3655634741,fiable
2018,7,469812.0851806409,430606.6465024327,509017.5238588491,fiable
2018,16,405706.059341593,362209.1352770737,449202.9834061122,fiable
2018,8,490981.8733750194,447510.0486100077,534453.698140031,fiable
2018,9,464136.7571348104,422252.2416050437,506021.2726645772,fiable
2018,14,496771.4924379072,443716.3009531418,549826.6839226724,fiable
2018,10,523479.9837708849,474845.6576066454,572114.3099351244,fiable
2018,11,637226.4478849001,578785.7523477552,695667.143422045,fiable
2018,12,802379.6090162596,664250.4565130889,940508.7615194302,fiable
2019,0,620528.3976832376,599738.4702084765,641318.3251579986,fiable
2019,15,481056.0579814943,443263.0114204268,518849.1045425618,fiable
2019,1,560452.4863945163,504974.2399455878,615930.7328434448,fiable
2019,2,778460.0959878257,692403.6793226582,864516.5126529931,fiable
2019,3,601925.7353773834,507920.9372559459,695930.5334988208,fiable
2019,4,515703.8164732015,470078.09961913,561329.533327273,fiable
2019,5,587096.0803420217,530820.9529406453,643371.207743398,fiable
2019,13,727440.6449870407,684219.7503859687,770661.5395881126,fiable
2019,6,481734.3824909243,451905.5622099106,511563.2027719379,fiable
2019,7,459922.8490245698,428374.1030434169,491471.5950057227,fiable
2019,16,441592.3388226699,403129.3917795363,480055.2858658035,fiable
2019,8,481419.8725975224,449296.4149956153,513543.3301994295,fiable
2019,9,470291.3791423584,428679.2527731583,511903.5055115585,fiable
2019,14,516263.6972038888,459916.9668676622,572610.4275401153,fiable
2019,10,522056.4814186054,482607.0673246522,561505.8955125585,fiable
2019,11,610865.9134100011,570104.683190081,651627.1436299211,fiable
2019,12,816074.0168147074,740994.1420679115,891153.8915615034,fiable
2020,0,635133.9670094548,615523.4766392689,654744.4573796408,fiable
2020,15,542041.804073772,486826.6828800421,597256.925267502,fiable
2020,1,632651.7830514861,546146.6642734194,719156.9018295528,fiable
2020,2,786473.5070251086,697403.8197081671,875543.19434205,fiable
2020,3,580311.2225751478,529786.2652778035,630836.179872492,fiable
2020,4,503302.9566474683,462576.6473687766,544029.2659261602,fiable
2020,5,584123.7488479848,540995.051372204,627252.4463237657,fiable
2020,13,720050.2305082416,681108.6671640845,758991.7938523986,fiable
2020,6,508504.7990920257,468486.3750465169,548523.2231375346,fiable
2020,7,490752.6319483409,457300.9830026318,524204.2808940499,fiable
2020,16,500567.2231793271,437840.2217356023,563294.2246230519,fiable
2020,8,549375.4003408762,513353.6572072541,585397.1434744983,fiable
2020,9,516588.378684432,455445.2026516461,577731.5547172179,fiable
2020,14,508078.8704270112,459253.3322861157,556904.4085679066,fiable
2020,10,554820.8537130514,511716.9282856609,597924.7791404419,fiable
2020,11,652238.4459578044,574679.2399647343,729797.6519508746,fiable
2020,12,830450.0356214823,739224.1159342459,921675.9553087187,fiable
2021,0,681039.367826197,659911.3493622593,702167.3862901346,fiable
2021,15,582645.934569652,542833.0121216254,622458.8570176786,fiable
2021,1,672108.6334362705,575926.5070586388,768290.7598139022,fiable
2021,2,765318.4464787963,706020.6659042905,824616.2270533021,fiable
2021,3,649945.5919502809,612157.6434658545,687733.5404347074,fiable
2021,4,603089.4979588379,538980.8760755156,667198.1198421601,fiable
2021,5,601402.3131140126,571322.1934128327,631482.4328151925,fiable
