RBD,NOM_RBD,DOCENTES
320,LICEO ARTISTICO DE ANTOFAGASTA `ARMANDO CARRERA GONZALEZ`,46
322,ESCUELA GENERAL MANUEL BAQUEDANO,37
324,ESCUELA FUNDACION MINERA ESCONDIDA,35
326,ESCUELA SANTIAGO AMENGUAL B.,49
329,LICEO BICENTENARIO INSTITUTO JOSÉ MAZA SANCHO,37
330,ESCUELA DE PARVULOS LOS PINGUINITOS,19
332,ESCUELA GABRIELA MISTRAL,40
333,ESCUELA DE PARVULOS BLANCA NIEVES,25
335,COLEGIO MISIONERO JOSE LANCASTER,25
336,LICEO EXPERIMENTAL ARTISTICO-APLICACION,39
337,COLEGIO SANTA TERESITA,20
340,CENTRO TRATAMIEN.INTEGRAL RAYITO DE SOL,7
341,COLEGIO ADVENTISTA DE ANTOFAGASTA,34
342,COLEGIO INGLES SAN JOSE,53
343,ESCUELA PRESBITERIANA,23
344,COLEGIO SANTA EMILIA,21
350,COLEGIO LIDIA MORENO,20
356,COLEGIO CORAZON DE MARIA,42
357,COL. SAN LUIS,36
358,INS. SANTA MARIA,30
365,COLEGIO EAGLE SCHOOL,21
366,HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA),33
367,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENT,60
368,ESCUELA BASICA JULIA HERRERA VARAS,68
369,ESCUELA LUCILA GODOY ALCAYAGA,6
370,ESCUELA ESTACION BAQUEDANO,21
371,ESCUELA CARACOLES,12
372,LICEO POLITECNICO JOSE MIGUEL QUIROZ,43
373,LICEO JUAN CORTES-MONROY CORTES,37
374,ESCUELA HOGAR VICTORIANO QUINTEROS SOTO,57
375,ESCUELA VICTOR CARVAJAL MEZA,56
377,ESCUELA PARANAL,6
379,LICEO FEDERICO VARELA,29
380,ESCUELA BÁSICA DIEGO PORTALES PALAZUELOS,34
381,ESCUELA BÁSICA PEDRO LUJAN,11
382,ESCUELA BÁSICA GASPAR CABRALES,18
383,ESCUELA BÁSICA DIFERENCIAL JOSÉ LUIS OLIVARES ARANCIBIA,20
384,LICEO BICENTENARIO  MANUEL MAGALHAES MEDLING,31
386,ESCUELA ALIRO LAMAS CASTILLO,45
387,ESCUELA BÁSICA EMPERATRIZ SEPÚLVEDA LANDEROS,3
390,ESCUELA COEDUCACIONAL PARTICULAR,42
392,LICEO DIEGO DE ALMEIDA,21
396,INSTITUTO COMERCIAL ALEJANDRO RIVERA DÍAZ,29
397,LICEO TÉCNICO PROFESIONAL EDWIN LATORRE RIVERO,2
399,LICEO JOSÉ ANTONIO CARVAJAL,35
400,LICEO BICENTENARIO MERCEDES FRITIS MACKENNEY,30
401,ESCUELA BERNARDO O HIGGINS,54
403,ESCUELA LAURA ROBLES SILVA,39
404,ESCUELA EDUCACIÓN DIFERENCIAL MARÍA LUZ LANZA PIZARRO,29
405,ESCUELA LOS ESTANDARTES,47
406,ESCUELA VICENTE SEPÚLVEDA ROJO,42
407,ESCUELA JESÚS FERNÁNDEZ HIDALGO,34
408,ESCUELA PEDRO LEÓN GALLO,76
410,ESCUELA JOSÉ MANSO DE VELASCO,29
411,ESCUELA LAS CANTERAS,24
413,ESCUELA LAS BRISAS,21
415,LICEO DE MÚSICA DE COPIAPÓ HUGO GARRIDO GAETE,42
416,ESCUELA ABRAHAM SEPÚLVEDA PIZARRO,45
417,COLEGIO BUEN PASTOR,47
418,ESCUELA ISABEL PEÑA MORALES,58
419,ESCUELA HERNÁN MÁRQUEZ HUERTA,52
420,LICEO FERNANDO ARIZTÍA RUIZ,63
421,ESCUELA BRUNO ZAVALA FREDES,47
423,ESCUELA SAN PEDRO,23
427,ESCUELA LUIS CRUZ MARTÍNEZ,25
429,LICEO CATÓLICO ATACAMA,81
430,LICEO POLITÉCNICO BELÉN,65
431,LICEO SAGRADO CORAZÓN,44
433,COLEGIO ADVENTISTA DE COPIAPÓ,46
434,ESCUELA SAN VICENTE DE PAUL,61
437,ESCUELA TÉCNICO PROFESIONAL,30
438,LICEO MANUEL BLANCO ENCALADA,18
439,ESCUELA TOTORAL,1
440,COLEGIO PARROQUIAL PADRE NEGRO,61
441,ESCUELA DE CONCENTRACIÓN,21
442,ESCUELA VICTOR MANUEL SÁNCHEZ CABAÑAS,30
444,ESCUELA LUIS URIBE ORREGO,35
445,ESCUELA PAUL HARRIS,7
446,ESCUELA AMOLANAS,2
448,LICEO PEDRO TRONCOSO MACHUCA,45
449,LICEO JOSÉ SANTOS OSSA,38
450,ESCUELA HERMANOS CARRERA,21
